"Product Name","Description","Brand","ProductPageUrl","OverallRatingRange","SecondaryRatingsAveragesQuality","SecondaryRatingsAveragesValue","Id","CID","SourceClient","LastModificationTime","LastModeratedTime","ProductId","CampaignId","UserLocation","AuthorId","IsFeatured","TotalClientResponseCount","TotalCommentCount","Rating","IsRecommended","Helpfulness","TotalFeedbackCount","TotalNegativeFeedbackCount","TotalPositiveFeedbackCount","ModerationStatus","SubmissionTime","ReviewText","Title","UserNickname","SecondaryRatings_Value_Value","SecondaryRatings_Quality_Value"
"Fragrance Sampler & Certificate For Him","Sample 10 of our most sensational fragrances. Select the scent you like best. Submit your scent certificate for a full-size bottle of your favourite one.","Beauty Boutique","https://www.beautyboutique.ca/Categories/Gifts-%26-Sets/Fragrance/Fragrance-Sampler-%26-Certificate-For-Him/p/BB_057800948735","5","5.0","3.0","189318331","1860193b-5334-551b-bdc1-a1ebb6afa53c","beautyboutique","2017-07-12T12:45:17.000+00:00","2017-07-12T12:45:17.000+00:00","057800948735","BV_REVIEW_DISPLAY","St. Thomas, ON, Canada","h4teaq1xo5qtl3dq1gllqbfso","False","0","0","5","True","","0","0","0","APPROVED","2017-07-11T01:31:11.000+00:00","I bought my son one also and his wife .I know this is the gift they will just love.I just wish they would of offered so points.","I bought a sampler and he just loves it.Great gift","jimmy","5","5"
"Fragrance Sampler & Certificate For Him","Sample 10 of our most sensational fragrances. Select the scent you like best. Submit your scent certificate for a full-size bottle of your favourite one.","Beauty Boutique","https://www.beautyboutique.ca/Categories/Gifts-%26-Sets/Fragrance/Fragrance-Sampler-%26-Certificate-For-Him/p/BB_057800948735","5","5.0","3.0","187083285","b90b7f92-376e-5f9a-b8bc-79b4b17df853","beautyboutique","2017-06-22T11:30:20.000+00:00","2017-06-22T11:30:20.000+00:00","057800948735","BV_REVIEW_DISPLAY","Montreal, QC, Canada","i0meqk5o5w82brpn4puusrlc0","False","0","0","1","False","0.25","4","3","1","APPROVED","2017-06-20T20:30:23.000+00:00","Bought this kit. When I got it at home the certificates on he says you're allowed to have the small regular bottles of perfume.  Not the full-size bottle as indicated on the website. There is no mention of any milliliters or ounces on the website.","Not worth it.","Moi m","1","5"
"Night Recovery Lotion","Unique formula infused with vitamins and anti-oxidants works while you sleep to hydrate, repair and replenish your skin's appearance and helps protect against the visible signs of aging.","Lab Series","https://www.beautyboutique.ca/Brands/Lab-Series/Night-Recovery-Lotion/p/BB_022548121030","5","","","151989823","60237fbb-2314-5363-88e5-3d778fbd3620","beautyboutique","2016-06-04T06:00:04.000+00:00","2016-06-04T06:00:04.000+00:00","022548121030","BV_REVIEW_DISPLAY","Toronto, ON","76p44d959fbyqcoz5m8q01l4u","False","0","0","5","True","1.0","1","0","1","APPROVED","2016-05-31T17:45:28.000+00:00","My husband has been using this product for over a year, and it makes a huge difference in his skin. His face looks so much fresher and even-toned when he wakes up after using it. He doesn't like fussing with skincare at all, but this makes such a difference that he's happy to use it, and it makes a difference in my skin too when he lets me borrow it!","Wake up to glowy, refreshed skin","jallycat37","",""
"Beard Oil","Enhance your beard appearance and the condition of the skin underneath with Jack Black's Beard Oil. An exclusive blend of certified organic natural oils, potent antioxidants and vitamins.","Jack Black","https://www.beautyboutique.ca/Categories/Men/Shaving/Shaving/Beard-Oil/p/BB_682223010136","5","5.0","5.0","176272918","ce63cc86-d06f-5403-a88d-9d33e48453bd","beautyboutique","2017-02-12T15:45:31.000+00:00","2017-02-12T15:45:31.000+00:00","682223010136","BV_REVIEW_DISPLAY","Toronto, ON","apiqp2mllieh0adgy3m73xhqi","False","0","0","5","True","1.0","4","0","4","APPROVED","2017-02-12T14:28:04.000+00:00","I bought this a couple of months ago to put in my boyfriend's stocking. His beard, like most beards, is wiry and grows in a bit funny. Before he started using this product, he gave himself a clean shave so that all the hairs growing in would be healthy. I was relieved when the stubble and scruff started to reappear (turns out, clean shaved is not a great look for my guy) -- and pleasantly surprised when that stubble and scruff was silky soft. The oil itself smells so nice -- it's not fragrant or feminine, it just smells good. He's always struggled with dry skin under his beard, but those days are gone. It takes two second to use -- he applies it after showering, rubbing it in to the hair/skin and then finishing with combing it through. Now that his beard has nearly fully grown back in, he's delighted with how it looks and feels, and he gets compliments on it all the time. In fact, his brother and several co-workers have gone out to buy beard oil themselves.","Great stocking stuffer!","thefuzzwhisperer","5","5"
"","","","","","","","151908066","497a2b0b-ab02-5bd6-a077-766d1d170eca","beautyboutique","2016-06-01T13:45:19.000+00:00","2016-06-01T13:45:19.000+00:00","3605521324481","BV_REVIEW_DISPLAY","Sault Ste. Marie, ON, Canada","5wvcmw9mh9wsmt914qe2yn8i2","False","0","0","5","True","","0","0","0","APPROVED","2016-05-30T14:12:36.000+00:00","My brother-in-law uses this, and my hubby wanted to try it.  he has been hooked ever since.  this is a go to for a gift for him for special occassions","My hubby loves this one!","neeters","4","5"
"Polo Blue Eau De Parfum","When absolute freshness meets ultimate distinction. Discover the new sensual & sophisticated fougere woody fragrance by Ralph Lauren, Polo Blue Eau de Parfum.","Ralph Lauren","https://www.beautyboutique.ca/Categories/Fragrance/Fragrance-For-Him/Cologne/Polo-Blue-Eau-De-Parfum/p/BB_3605970859299","5","4.0","4.0","172296889","d7ae5e71-c468-51b6-8b49-86ca7063c2c5","beautyboutique","2017-01-05T19:30:27.000+00:00","2017-01-05T19:30:27.000+00:00","3605970859299","BV_REVIEW_DISPLAY","Niagara-on-the-Lake, ON, Canada","p7zofdkwcdlel99owqutbt9t0","False","0","0","4","True","","0","0","0","APPROVED","2017-01-03T20:42:22.000+00:00","I bought this product as a new year's gift to my friend and absolutely loved it.","Very Good for everyday use","ata1907","4","4"
