"Product Name","Description","Brand","ProductPageUrl","OverallRatingRange","SecondaryRatingsAveragesQuality","SecondaryRatingsAveragesValue","Id","CID","SourceClient","LastModificationTime","LastModeratedTime","ProductId","CampaignId","UserLocation","AuthorId","IsFeatured","TotalClientResponseCount","TotalCommentCount","Rating","IsRecommended","Helpfulness","TotalFeedbackCount","TotalNegativeFeedbackCount","TotalPositiveFeedbackCount","ModerationStatus","SubmissionTime","ReviewText","Title","UserNickname","SecondaryRatings_Value_Value","SecondaryRatings_Quality_Value"
"PHYTOKÉRATINE EXTRÊME Exceptional Mask","This voluptuous, ultra ""melt-in"" mask envelops the hair and instantly saturates the hair fiber without weighing it down.
Its unique texture is a perfect balance between generosity and lightness.","Phyto Paris","https://www.beautyboutique.ca/Categories/Hair/Shampoos-%26-Conditioners/PHYTOK%C3%89RATINE-EXTR%C3%8AME-Exceptional-Mask/p/BB_3338221000491","5","4.75","4.5","177833197","cf3978b9-6fa8-5437-883a-125947ec40b5","beautyboutique","2017-03-04T01:15:07.000+00:00","2017-03-04T01:15:07.000+00:00","3338221000491","BV_REVIEW_DISPLAY","Toronto, ON, Canada","onmb1l1zckv85godye69s4g58","False","0","0","5","True","","0","0","0","APPROVED","2017-03-04T00:35:58.000+00:00","I love this Phytokeratine Extreme Exceptional Mask! It is a bit pricey but I use it only once a week, so lasts pretty long. The mask made my, colour treated damaged hair feel soft and healthier after the first use. I love this product! If your hair needs rescuing I recommend you try this Phytokeratine Extreme Exceptional Mask.","Made my damaged hair look Great!","Jules2017","4","5"
"PHYTOKÉRATINE EXTRÊME Exceptional Mask","This voluptuous, ultra ""melt-in"" mask envelops the hair and instantly saturates the hair fiber without weighing it down.
Its unique texture is a perfect balance between generosity and lightness.","Phyto Paris","https://www.beautyboutique.ca/Categories/Hair/Shampoos-%26-Conditioners/PHYTOK%C3%89RATINE-EXTR%C3%8AME-Exceptional-Mask/p/BB_3338221000491","5","4.75","4.5","168749988","2730bb96-0826-5db4-955b-07e494a3a407","beautyboutique","2016-11-15T11:00:10.000+00:00","2016-11-15T11:00:10.000+00:00","3338221000491","BV_PIE","Dawson Creek, BC, Canada","shlyo9dpfj3z9e3vztgy99n8r","False","0","0","4","True","","0","0","0","APPROVED","2016-11-15T06:28:50.000+00:00","I recently purchased this hair treatment after using a product from the same line, phytokeratine extreme.  The mask has a nice consistency for easy application. It does leave my hair extra conditioned, however,  I do not care for the smell of it.   It's not bad,  Just not the scent I would have liked","Beneficial ingredients","ApeEscape1286","4","4"
"PHYTOKÉRATINE EXTRÊME Exceptional Mask","This voluptuous, ultra ""melt-in"" mask envelops the hair and instantly saturates the hair fiber without weighing it down.
Its unique texture is a perfect balance between generosity and lightness.","Phyto Paris","https://www.beautyboutique.ca/Categories/Hair/Shampoos-%26-Conditioners/PHYTOK%C3%89RATINE-EXTR%C3%8AME-Exceptional-Mask/p/BB_3338221000491","5","4.75","4.5","177888313","b146496e-c7d0-5318-afbf-d0330e021974","beautyboutique","2017-03-04T23:45:09.000+00:00","2017-03-04T23:45:09.000+00:00","3338221000491","BV_REVIEW_DISPLAY","Abbotsford, BC, Canada","hmtjfdrsjusd3po6n06pf2mwd","False","0","0","5","True","","0","0","0","APPROVED","2017-03-04T23:10:00.000+00:00","I bought this product after a long search for a hair mask treatment that would make my hair look nice and healthy. This product sure did the trick as it made my hair look beautiful while smelling great as well!","Made my hair glossy and shiny like in commercials!","eflower2k17","5","5"
"PHYTOKÉRATINE EXTRÊME Exceptional Mask","This voluptuous, ultra ""melt-in"" mask envelops the hair and instantly saturates the hair fiber without weighing it down.
Its unique texture is a perfect balance between generosity and lightness.","Phyto Paris","https://www.beautyboutique.ca/Categories/Hair/Shampoos-%26-Conditioners/PHYTOK%C3%89RATINE-EXTR%C3%8AME-Exceptional-Mask/p/BB_3338221000491","5","4.75","4.5","164757180","5449448b-c343-5f4d-8dfd-e7ded3b15bd8","beautyboutique","2016-09-19T22:00:18.000+00:00","2016-09-19T22:00:18.000+00:00","3338221000491","BV_REVIEW_DISPLAY","","2tfohkncq9k8pu8rtzshg4ly2","False","0","0","5","True","","0","0","0","APPROVED","2016-09-19T21:22:09.000+00:00","I bleach my hair and I try to have it long. When they are naturally dry and curly, it easily damage. Since I used it, my hair are happy and my curls  are georgius. best products I ever bought for hair.","Amazing","Caroline s","5","5"
