"product_url","size"
"http://shop.doverstreetmarket.com/nikelab-dsm-ldn/nikelab-air-max-1-royal-se-aa08691-001",10
"http://shop.doverstreetmarket.com/nikelab-dsm-ldn/nikelab-air-max-1-royal-se-aa08691-001",8
"http://shop.doverstreetmarket.com/nikelab-dsm-ldn/nikelab-air-max-1-royal-se-aa08691-001",9
