"RK","GOLDER","CNTRY","WINS","TOP_10_FINISHES","TOP_25_FINISHES","AMOUNT","PROFILE"
"68","Cody Gribble","USA","1","2","4","$1,230,417","http://www.cbssports.com/golf/players/playerpage/2064622/cody-gribble"
"69","Jamie Lovemark","USA","0","3","6","$1,226,467","http://www.cbssports.com/golf/players/playerpage/1112285/jamie-lovemark"
"70","Kevin Streelman","USA","0","2","8","$1,197,302","http://www.cbssports.com/golf/players/playerpage/474965/kevin-streelman"
"71","Graham DeLaet","CAN","0","5","8","$1,185,223","http://www.cbssports.com/golf/players/playerpage/462329/graham-delaet"
"72","Stewart Cink","USA","0","3","9","$1,173,449","http://www.cbssports.com/golf/players/playerpage/131982/stewart-cink"
"73","Byeong Hun An","KOR","0","3","4","$1,171,890","http://www.cbssports.com/golf/players/playerpage/1681601/byeong-hun-an"
"74","Henrik Stenson","SWE","0","2","3","$1,142,425","http://www.cbssports.com/golf/players/playerpage/474782/henrik-stenson"
"75","William McGirt","USA","0","3","6","$1,139,724","http://www.cbssports.com/golf/players/playerpage/1260543/william-mcgirt"
"76","Jim Herman","USA","0","2","6","$1,125,615","http://www.cbssports.com/golf/players/playerpage/1505984/jim-herman"
"77","Kevin Na","USA","0","3","5","$1,095,919","http://www.cbssports.com/golf/players/playerpage/460229/kevin-na"
"78","Chris Kirk","USA","0","3","5","$1,094,481","http://www.cbssports.com/golf/players/playerpage/1232152/chris-kirk"
"79","C.T. Pan","TWN","0","3","3","$1,094,308","http://www.cbssports.com/golf/players/playerpage/1219711/ct-pan"
"80","Morgan Hoffmann","USA","0","1","4","$1,086,715","http://www.cbssports.com/golf/players/playerpage/1696961/morgan-hoffmann"
"81","Jhonattan Vegas","VEN","0","2","5","$1,084,988","http://www.cbssports.com/golf/players/playerpage/476223/jhonattan-vegas"
"82","Whee Kim","KOR","0","2","5","$1,081,181","http://www.cbssports.com/golf/players/playerpage/1968714/whee-kim"
"83","Nick Taylor","CAN","0","3","7","$1,044,611","http://www.cbssports.com/golf/players/playerpage/475425/nick-taylor"
"84","Xander Schauffele","USA","0","2","5","$988,816","http://www.cbssports.com/golf/players/playerpage/2237304/xander-schauffele"
"85","Seung-yul Noh","KOR","0","3","5","$982,729","http://www.cbssports.com/golf/players/playerpage/1108939/seung-yul-noh"
"86","Jason Kokrak","USA","0","1","5","$957,834","http://www.cbssports.com/golf/players/playerpage/1226012/jason-kokrak"
"87","Michael Kim","USA","0","1","6","$950,712","http://www.cbssports.com/golf/players/playerpage/2064617/michael-kim"
"88","J.J. Spaun","USA","0","3","5","$942,204","http://www.cbssports.com/golf/players/playerpage/2219940/jj-spaun"
"89","Chad Campbell","USA","0","2","5","$939,385","http://www.cbssports.com/golf/players/playerpage/149523/chad-campbell"
"90","Luke Donald","ENG","0","1","3","$937,255","http://www.cbssports.com/golf/players/playerpage/291587/luke-donald"
"91","J.B. Holmes","USA","0","1","5","$936,541","http://www.cbssports.com/golf/players/playerpage/594119/jb-holmes"
"92","David Lingmerth","SWE","0","1","6","$932,386","http://www.cbssports.com/golf/players/playerpage/1758026/david-lingmerth"
"93","Patton Kizzire","USA","0","2","2","$925,050","http://www.cbssports.com/golf/players/playerpage/1639297/patton-kizzire"
"94","Jimmy Walker","USA","0","1","6","$898,806","http://www.cbssports.com/golf/players/playerpage/476405/jimmy-walker"
"95","Branden Grace","SAF","0","1","5","$892,241","http://www.cbssports.com/golf/players/playerpage/1196259/branden-grace"
"96","Zach Johnson","USA","0","2","4","$862,461","http://www.cbssports.com/golf/players/playerpage/460187/zach-johnson"
"97","D.A. Points","USA","1","1","3","$839,537","http://www.cbssports.com/golf/players/playerpage/238154/da-points"
"98","Dominic Bozzelli","USA","0","3","3","$832,439","http://www.cbssports.com/golf/players/playerpage/2066221/dominic-bozzelli"
"99","Bubba Watson","USA","0","3","4","$806,140","http://www.cbssports.com/golf/players/playerpage/460245/bubba-watson"
"100","Harris English","USA","0","2","4","$799,450","http://www.cbssports.com/golf/players/playerpage/1746754/harris-english"
"101","Derek Fathauer","USA","0","1","4","$762,330","http://www.cbssports.com/golf/players/playerpage/1336129/derek-fathauer"
"102","Camilo Villegas","COL","0","2","4","$752,035","http://www.cbssports.com/golf/players/playerpage/497581/camilo-villegas"
"103","Nick Watney","USA","0","1","5","$748,478","http://www.cbssports.com/golf/players/playerpage/476578/nick-watney"
"104","Steve Stricker","USA","0","1","5","$744,035","http://www.cbssports.com/golf/players/playerpage/132119/steve-stricker"
"105","Geoff Ogilvy","AUS","0","1","5","$729,424","http://www.cbssports.com/golf/players/playerpage/238088/geoff-ogilvy"
"106","Zac Blair","USA","0","1","2","$722,038","http://www.cbssports.com/golf/players/playerpage/2069396/zac-blair"
"107","Brian Gay","USA","0","2","3","$720,555","http://www.cbssports.com/golf/players/playerpage/149707/brian-gay"
"108","John Huh","USA","0","2","3","$718,015","http://www.cbssports.com/golf/players/playerpage/1782711/john-huh"
"109","Patrick Rodgers","USA","0","2","5","$710,364","http://www.cbssports.com/golf/players/playerpage/1989776/patrick-rodgers"
"110","Billy Hurley III","USA","0","1","4","$708,043","http://www.cbssports.com/golf/players/playerpage/1098581/billy-hurley-iii"
"111","Blayne Barber","USA","0","1","2","$700,392","http://www.cbssports.com/golf/players/playerpage/1848126/blayne-barber"
"112","Ryan Palmer","USA","0","2","3","$680,160","http://www.cbssports.com/golf/players/playerpage/460170/ryan-palmer"
"113","Aaron Baddeley","AUS","0","2","4","$673,072","http://www.cbssports.com/golf/players/playerpage/449747/aaron-baddeley"
"114","Vaughn Taylor","USA","0","0","6","$668,808","http://www.cbssports.com/golf/players/playerpage/460172/vaughn-taylor"
"115","Trey Mullinax","USA","0","1","4","$659,950","http://www.cbssports.com/golf/players/playerpage/2156026/trey-mullinax"
"116","Cameron Tringale","USA","0","2","2","$651,514","http://www.cbssports.com/golf/players/playerpage/1681033/cameron-tringale"
"117","Daniel Summerhays","USA","0","1","3","$650,599","http://www.cbssports.com/golf/players/playerpage/475094/daniel-summerhays"
"118","Grayson Murray","USA","0","1","4","$641,412","http://www.cbssports.com/golf/players/playerpage/1995576/grayson-murray"
"119","Graeme McDowell","NIR","0","0","4","$639,770","http://www.cbssports.com/golf/players/playerpage/469607/graeme-mcdowell"
"120","Smylie Kaufman","USA","0","1","2","$628,574","http://www.cbssports.com/golf/players/playerpage/2133371/smylie-kaufman"
"121","Shane Lowry","IRE","0","0","5","$624,744","http://www.cbssports.com/golf/players/playerpage/1675821/shane-lowry"
"122","Johnson Wagner","USA","0","2","3","$623,651","http://www.cbssports.com/golf/players/playerpage/460277/johnson-wagner"
"123","David Hearn","CAN","0","2","5","$622,251","http://www.cbssports.com/golf/players/playerpage/465517/david-hearn"
"124","Ben Martin","USA","0","1","3","$616,125","http://www.cbssports.com/golf/players/playerpage/1681036/ben-martin"
"125","Tyrone Van Aswegen","SAF","0","1","3","$611,957","http://www.cbssports.com/golf/players/playerpage/1195226/tyrone-van-aswegen"
"126","Soren Kjeldsen","DEN","0","1","2","$598,892","http://www.cbssports.com/golf/players/playerpage/401320/soren-kjeldsen"
"127","J.T. Poston","USA","0","1","4","$598,069","http://www.cbssports.com/golf/players/playerpage/2237326/jt-poston"
"128","Brian Stuard","USA","0","0","4","$588,806","http://www.cbssports.com/golf/players/playerpage/1616893/brian-stuard"
"129","Ryan Blaum","USA","0","0","4","$574,118","http://www.cbssports.com/golf/players/playerpage/519562/ryan-blaum"
"130","Michael Thompson","USA","0","1","6","$568,991","http://www.cbssports.com/golf/players/playerpage/475589/michael-thompson"
"131","Jim Furyk","USA","0","1","2","$529,397","http://www.cbssports.com/golf/players/playerpage/132018/jim-furyk"
"132","Scott Stallings","USA","0","1","4","$527,027","http://www.cbssports.com/golf/players/playerpage/1229764/scott-stallings"
"133","Troy Merritt","USA","0","1","5","$503,853","http://www.cbssports.com/golf/players/playerpage/1639167/troy-merritt"
"134","Harold Varner III","USA","0","0","4","$502,028","http://www.cbssports.com/golf/players/playerpage/2117954/harold-varner-iii"
"135","Bryson DeChambeau","USA","0","1","2","$490,716","http://www.cbssports.com/golf/players/playerpage/2176411/bryson-dechambeau"
"136","J.J. Henry","USA","0","1","5","$488,472","http://www.cbssports.com/golf/players/playerpage/149569/jj-henry"
"137","Matt Jones","AUS","0","0","5","$488,348","http://www.cbssports.com/golf/players/playerpage/466923/matt-jones"
"138","Robert Streb","USA","0","1","3","$485,599","http://www.cbssports.com/golf/players/playerpage/1758933/robert-streb"
"139","Brandon Hagy","USA","0","0","3","$475,355","http://www.cbssports.com/golf/players/playerpage/2155896/brandon-hagy"
"140","Ben Crane","USA","0","1","3","$466,663","http://www.cbssports.com/golf/players/playerpage/238111/ben-crane"
"141","Ricky Barnes","USA","0","0","4","$466,565","http://www.cbssports.com/golf/players/playerpage/399349/ricky-barnes"
"142","Greg Owen","ENG","0","1","2","$448,311","http://www.cbssports.com/golf/players/playerpage/401336/greg-owen"
"143","Spencer Levin","USA","0","1","2","$432,761","http://www.cbssports.com/golf/players/playerpage/468347/spencer-levin"
"144","Sam Saunders","USA","0","1","4","$430,392","http://www.cbssports.com/golf/players/playerpage/1098589/sam-saunders"
"145","Cameron Percy","AUS","0","1","4","$428,234","http://www.cbssports.com/golf/players/playerpage/401337/cameron-percy"
"146","Robert Garrigus","USA","0","0","3","$423,664","http://www.cbssports.com/golf/players/playerpage/460197/robert-garrigus"
"147","Jonathan Randolph","USA","0","1","2","$413,486","http://www.cbssports.com/golf/players/playerpage/1995594/jonathan-randolph"
"148","Boo Weekley","USA","0","1","1","$396,130","http://www.cbssports.com/golf/players/playerpage/285351/boo-weekley"
"149","Martin Flores","USA","0","1","3","$381,995","http://www.cbssports.com/golf/players/playerpage/564225/martin-flores"
"150","Julian Etulain","ARG","0","1","3","$373,181","http://www.cbssports.com/golf/players/playerpage/1738270/julian-etulain"
"151","Seamus Power","IRE","0","0","1","$369,686","http://www.cbssports.com/golf/players/playerpage/1195786/seamus-power"
"152","Alex Cejka","GER","0","0","2","$367,441","http://www.cbssports.com/golf/players/playerpage/399374/alex-cejka"
"153","Kyle Reifers","USA","0","0","2","$362,153","http://www.cbssports.com/golf/players/playerpage/1112793/kyle-reifers"
"154","Ryan Brehm","USA","0","0","1","$342,614","http://www.cbssports.com/golf/players/playerpage/557217/ryan-brehm"
"155","Richy Werenski","USA","0","1","2","$334,009","http://www.cbssports.com/golf/players/playerpage/2237947/richy-werenski"
"156","Fabian Gomez","ARG","0","0","3","$332,352","http://www.cbssports.com/golf/players/playerpage/569990/fabian-gomez"
"157","John Peterson","USA","0","0","3","$329,705","http://www.cbssports.com/golf/players/playerpage/1848129/john-peterson"
"158","Joel Dahmen","USA","0","1","2","$319,364","http://www.cbssports.com/golf/players/playerpage/1995527/joel-dahmen"
"159","Retief Goosen","SAF","0","1","2","$315,201","http://www.cbssports.com/golf/players/playerpage/238071/retief-goosen"
"160","Chris Stroud","USA","0","1","3","$312,124","http://www.cbssports.com/golf/players/playerpage/521003/chris-stroud"
"161","Tim Wilkinson","NZL","0","0","4","$304,159","http://www.cbssports.com/golf/players/playerpage/477023/tim-wilkinson"
"162","Ryo Ishikawa","JPN","0","1","2","$301,087","http://www.cbssports.com/golf/players/playerpage/1223768/ryo-ishikawa"
"163","Chad Collins","USA","0","1","1","$300,663","http://www.cbssports.com/golf/players/playerpage/461502/chad-collins"
"164","Will MacKenzie","USA","0","0","2","$272,288","http://www.cbssports.com/golf/players/playerpage/468816/will-mackenzie"
"165","Greg Chalmers","AUS","0","0","1","$269,776","http://www.cbssports.com/golf/players/playerpage/149693/greg-chalmers"
"166","Roberto Castro","USA","0","0","0","$261,708","http://www.cbssports.com/golf/players/playerpage/1618632/roberto-castro"
"167","Shawn Stefani","USA","0","1","1","$261,188","http://www.cbssports.com/golf/players/playerpage/1681025/shawn-stefani"
"168","Andres Gonzales","USA","0","0","1","$252,662","http://www.cbssports.com/golf/players/playerpage/1125396/andres-gonzales"
"169","Tag Ridings","USA","0","0","1","$246,172","http://www.cbssports.com/golf/players/playerpage/460176/tag-ridings"
"170","Andrew Loupe","USA","0","1","1","$243,816","http://www.cbssports.com/golf/players/playerpage/555032/andrew-loupe"
"171","Bill Lunde","USA","0","1","1","$233,984","http://www.cbssports.com/golf/players/playerpage/399345/bill-lunde"
"172","Brett Stegmaier","USA","0","0","1","$233,777","http://www.cbssports.com/golf/players/playerpage/1196070/brett-stegmaier"
"173","Gonzalo Fernandez-Castano","ESP","0","0","1","$232,524","http://www.cbssports.com/golf/players/playerpage/1194981/gonzalo-fernandez-castano"
"174","Andrew Johnston","ENG","0","1","1","$228,733","http://www.cbssports.com/golf/players/playerpage/1787447/andrew-johnston"
"175","Steve Wheatcroft","USA","0","1","1","$224,660","http://www.cbssports.com/golf/players/playerpage/476826/steve-wheatcroft"
"176","Vijay Singh","FIJ","0","0","1","$214,905","http://www.cbssports.com/golf/players/playerpage/132108/vijay-singh"
"177","Angel Cabrera","ARG","0","1","1","$210,479","http://www.cbssports.com/golf/players/playerpage/399373/angel-cabrera"
"178","Bryce Molder","USA","0","0","0","$204,172","http://www.cbssports.com/golf/players/playerpage/399350/bryce-molder"
"179","Peter Malnati","USA","0","0","0","$202,462","http://www.cbssports.com/golf/players/playerpage/1766571/peter-malnati"
"180","Rory Sabbatini","SAF","0","0","1","$196,168","http://www.cbssports.com/golf/players/playerpage/149748/rory-sabbatini"
"181","K.J. Choi","KOR","0","0","2","$189,923","http://www.cbssports.com/golf/players/playerpage/238066/kj-choi"
"182","Tom Hoge","USA","0","1","2","$186,086","http://www.cbssports.com/golf/players/playerpage/1848642/tom-hoge"
"183","Hiroshi Iwata","JPN","0","1","1","$179,133","http://www.cbssports.com/golf/players/playerpage/495751/hiroshi-iwata"
"184","Ken Duke","USA","0","0","1","$173,948","http://www.cbssports.com/golf/players/playerpage/460104/ken-duke"
"185","Jason Bohn","USA","0","0","0","$165,910","http://www.cbssports.com/golf/players/playerpage/459707/jason-bohn"
"186","Steven Alker","NZL","0","0","1","$163,877","http://www.cbssports.com/golf/players/playerpage/458435/steven-alker"
"187","Padraig Harrington","IRE","0","0","1","$161,083","http://www.cbssports.com/golf/players/playerpage/399340/padraig-harrington"
"188","Hunter Mahan","USA","0","0","1","$159,795","http://www.cbssports.com/golf/players/playerpage/399363/hunter-mahan"
"189","Ryan Armour","USA","0","0","0","$158,560","http://www.cbssports.com/golf/players/playerpage/458705/ryan-armour"
"190","Mark Anderson","USA","0","1","2","$157,783","http://www.cbssports.com/golf/players/playerpage/1734462/mark-anderson"
"191","Nicholas Lindheim","USA","0","0","1","$154,338","http://www.cbssports.com/golf/players/playerpage/2021137/nicholas-lindheim"
"192","Danny Willett","ENG","0","0","0","$151,500","http://www.cbssports.com/golf/players/playerpage/1604396/danny-willett"
"193","Fred Couples","USA","0","0","1","$148,500","http://www.cbssports.com/golf/players/playerpage/131988/fred-couples"
"194","Carl Pettersson","SWE","0","0","1","$146,386","http://www.cbssports.com/golf/players/playerpage/460227/carl-pettersson"
"195","Brad Fritsch","CAN","0","0","0","$145,995","http://www.cbssports.com/golf/players/playerpage/463879/brad-fritsch"
"196","Mark Hubbard","USA","0","0","0","$140,011","http://www.cbssports.com/golf/players/playerpage/2075034/mark-hubbard"
"197","Brett Drewitt","AUS","0","0","0","$138,553","http://www.cbssports.com/golf/players/playerpage/2253203/brett-drewitt"
"198","Miguel Angel Carballo","ARG","0","0","1","$134,592","http://www.cbssports.com/golf/players/playerpage/1195326/miguel-angel-carballo"
"199","Jason Gore","USA","0","0","1","$133,125","http://www.cbssports.com/golf/players/playerpage/238072/jason-gore"
"200","Michael Putnam","USA","0","0","0","$130,984","http://www.cbssports.com/golf/players/playerpage/563448/michael-putnam"
"201","Ernie Els","SAF","0","0","0","$130,926","http://www.cbssports.com/golf/players/playerpage/132002/ernie-els"
"202","Willy Wilcox","USA","0","0","2","$129,144","http://www.cbssports.com/golf/players/playerpage/1754482/willy-wilcox"
"203","Jon Curran","USA","0","0","0","$128,092","http://www.cbssports.com/golf/players/playerpage/1754329/jon-curran"
"204","Sebastian Munoz","COL","0","0","0","$121,620","http://www.cbssports.com/golf/players/playerpage/2234684/sebastian-munoz"
"205","Rick Lamb","USA","0","0","1","$117,889","http://www.cbssports.com/golf/players/playerpage/2155966/rick-lamb"
"206","Matt Every","USA","0","0","0","$112,819","http://www.cbssports.com/golf/players/playerpage/555028/matt-every"
"207","Brian Campbell","USA","0","0","1","$112,270","http://www.cbssports.com/golf/players/playerpage/2133368/brian-campbell"
"208","John Senden","AUS","0","0","0","$104,044","http://www.cbssports.com/golf/players/playerpage/285347/john-senden"
"209","Steve Marino","USA","0","0","0","$98,573","http://www.cbssports.com/golf/players/playerpage/469111/steve-marino"
"210","Andres Romero","ARG","0","0","1","$96,468","http://www.cbssports.com/golf/players/playerpage/1195117/andres-romero"
"211","Mark Wilson","USA","0","0","0","$88,222","http://www.cbssports.com/golf/players/playerpage/460139/mark-wilson"
"212","Jonathan Byrd","USA","0","0","1","$85,380","http://www.cbssports.com/golf/players/playerpage/238106/jonathan-byrd"
"213","Bob Estes","USA","0","0","0","$76,930","http://www.cbssports.com/golf/players/playerpage/132003/bob-estes"
"214","Freddie Jacobson","SWE","0","0","1","$61,129","http://www.cbssports.com/golf/players/playerpage/238125/freddie-jacobson"
"215","Tyler Aldridge","USA","0","0","0","$60,652","http://www.cbssports.com/golf/players/playerpage/1196380/tyler-aldridge"
"216","Jerry Kelly","USA","0","0","1","$59,856","http://www.cbssports.com/golf/players/playerpage/132048/jerry-kelly"
"217","Brendon de Jonge","ZIM","0","0","0","$54,273","http://www.cbssports.com/golf/players/playerpage/462219/brendon-de-jonge"
"218","Y.E. Yang","KOR","0","0","0","$39,100","http://www.cbssports.com/golf/players/playerpage/477465/ye-yang"
"219","Davis Love III","USA","0","0","0","$38,150","http://www.cbssports.com/golf/players/playerpage/132060/davis-love-iii"
"220","Zack Sucher","USA","0","0","0","$35,135","http://www.cbssports.com/golf/players/playerpage/1685605/zack-sucher"
"221","Dicky Pride","USA","0","0","0","$32,795","http://www.cbssports.com/golf/players/playerpage/132096/dicky-pride"
"222","Larry Mize","USA","0","0","0","$27,720","http://www.cbssports.com/golf/players/playerpage/132076/larry-mize"
"223","Charlie Wi","KOR","0","0","1","$26,863","http://www.cbssports.com/golf/players/playerpage/149667/charlie-wi"
"224","Chesson Hadley","USA","0","0","0","$21,803","http://www.cbssports.com/golf/players/playerpage/2103529/chesson-hadley"
"225","John Merrick","USA","0","0","0","$20,782","http://www.cbssports.com/golf/players/playerpage/518225/john-merrick"
"226","Tim Herron","USA","0","0","0","$18,531","http://www.cbssports.com/golf/players/playerpage/132037/tim-herron"
"227","Arjun Atwal","IND","0","0","0","$15,975","http://www.cbssports.com/golf/players/playerpage/458794/arjun-atwal"
"228","Bobby Wyatt","USA","0","0","0","$15,528","http://www.cbssports.com/golf/players/playerpage/2156186/bobby-wyatt"
"229","Brendon Todd","USA","0","0","0","$14,925","http://www.cbssports.com/golf/players/playerpage/1232153/brendon-todd"
"230","Charlie Beljan","USA","0","0","0","$13,869","http://www.cbssports.com/golf/players/playerpage/1619352/charlie-beljan"
"231","Justin Leonard","USA","0","0","0","$13,702","http://www.cbssports.com/golf/players/playerpage/132054/justin-leonard"
"232","Colt Knost","USA","0","0","0","$13,580","http://www.cbssports.com/golf/players/playerpage/1221676/colt-knost"
