"RK","GOLDER","CNTRY","WINS","TOP_10_FINISHES","TOP_25_FINISHES","POINTS","PROFILE"
"-","Thomas Aiken","SAF","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/458353/thomas-aiken"
"-","Anders Albertson","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2234685/anders-albertson"
"-","Tyson Alexander","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1681026/tyson-alexander"
"-","Abraham Ancer","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2155761/abraham-ancer"
"-","Mason Andersen","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2831412/mason-andersen"
"-","Riley Arp","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1970983/riley-arp"
"-","Matt Atkins","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2234688/matt-atkins"
"-","Todd Baek","KOR","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1406554/todd-baek"
"-","Derek Barron","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2831413/derek-barron"
"-","Cameron Beckman","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/149681/cameron-beckman"
"-","Oliver Bekker","SAF","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1434521/oliver-bekker"
"-","Rich Berberian, Jr.","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/459384/rich-berberian-jr"
"-","Shane Bertsch","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/149508/shane-bertsch"
"-","Gaganjeet Bhullar","IND","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1535196/gaganjeet-bhullar"
"-","Wade Binfield","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2155785/wade-binfield"
"-","Jacques Blaauw","SAF","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1655394/jacques-blaauw"
"-","Brooks Blackburn","","0","0","0","0",""
"-","Richard Bland","ENG","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1195189/richard-bland"
"-","Michael Block","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/459642/michael-block"
"-","Cyril Bouniol","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2155790/cyril-bouniol"
"-","Gregory Bourdy","FRA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/459854/gregory-bourdy"
"-","Joseph Bramlett","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1995515/joseph-bramlett"
"-","Christian Brand","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1995516/christian-brand"
"-","Sam Brazel","AUS","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1225960/sam-brazel"
"-","Josh Broadaway","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/460155/josh-broadaway"
"-","Josh Brock","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1681030/josh-brock"
"-","Mark Brooks","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/131970/mark-brooks"
"-","Dean Burmester","SAF","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1737011/dean-burmester"
"-","Zach Cabra","","0","0","0","0",""
"-","Robert Calvesbert","PUR","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1952111/robert-calvesbert"
"-","Matt Campbell","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2831414/matt-campbell"
"-","Rafael Campos","PUR","0","2","2","0","http://www.cbssports.com/golf/players/playerpage/1601848/rafael-campos"
"-","Will Cannon","","0","0","0","0",""
"-","Rodolfo Cazaubon","MEX","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1755092/rodolfo-cazaubon"
"-","Cameron Champ","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2831415/cameron-champ"
"-","Shih-chang Chan","TPE","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1196318/shih-chang-chan"
"-","S.S.P. Chawrasia","IND","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/461199/ssp-chawrasia"
"-","Danny Chia","MA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1195130/danny-chia"
"-","John Chin","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1770163/john-chin"
"-","Jinho Choi","","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1599810/jinho-choi"
"-","Daniel Chopra","SWE","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/460126/daniel-chopra"
"-","Wyndham Clark","","0","0","0","0",""
"-","Keith Clearwater","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/131984/keith-clearwater"
"-","George Coetzee","SAF","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1195168/george-coetzee"
"-","Brett Coletta","AUS","0","0","1","0","http://www.cbssports.com/golf/players/playerpage/2682573/brett-coletta"
"-","Erik Compton","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/460202/erik-compton"
"-","Corey Conners","CAN","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2073578/corey-conners"
"-","Austin Cook","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2155836/austin-cook"
"-","Alan Cooke","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2854309/alan-cooke"
"-","Christopher Crawford","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2241772/christopher-crawford"
"-","Ben Curtis","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/401298/ben-curtis"
"-","Brad Dalke","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2234764/brad-dalke"
"-","John Daly","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/149697/john-daly"
"-","Charlie Danielson","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2219939/charlie-danielson"
"-","Cameron Davis","AUS","0","0","1","0","http://www.cbssports.com/golf/players/playerpage/2414964/cameron-davis"
"-","Stuart Deane","AUS","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/462261/stuart-deane"
"-","Chip Deason","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/462272/chip-deason"
"-","Roberto Diaz","MEX","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1995530/roberto-diaz"
"-","Jamie Donaldson","WAL","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1194983/jamie-donaldson"
"-","Zecheng Dou","CHN","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2155853/zecheng-dou"
"-","Kevin Dougherty","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2705015/kevin-dougherty"
"-","Billy Downes","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/462726/billy-downes"
"-","Bradley Dredge","WAL","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1195091/bradley-dredge"
"-","Paul Dunne","IRE","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2136164/paul-dunne"
"-","David Duval","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/131998/david-duval"
"-","Paul Earnest","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/462940/paul-earnest"
"-","Derek Ernst","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2021156/derek-ernst"
"-","Chris Evans","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/463250/chris-evans"
"-","Edward Figueroa","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1952184/edward-figueroa"
"-","Ross Fisher","ENG","0","3","4","0","http://www.cbssports.com/golf/players/playerpage/502963/ross-fisher"
"-","Matthew Fitzpatrick","ENG","0","0","4","0","http://www.cbssports.com/golf/players/playerpage/2068881/matthew-fitzpatrick"
"-","Nick Flanagan","AUS","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/463580/nick-flanagan"
"-","Tommy Fleetwood","ENG","0","3","3","0","http://www.cbssports.com/golf/players/playerpage/1639560/tommy-fleetwood"
"-","Steve Flesch","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/132011/steve-flesch"
"-","Marcus Fraser","AUS","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/463819/marcus-fraser"
"-","Oscar Fraustro","MEX","0","0","1","0","http://www.cbssports.com/golf/players/playerpage/1522587/oscar-fraustro"
"-","Tadd Fujikawa","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1111908/tadd-fujikawa"
"-","Robert Gamez","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/149551/robert-gamez"
"-","Toto Gana","CHL","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2805474/toto-gana"
"-","Stephen Gangluff","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/285332/stephen-gangluff"
"-","Joey Garber","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2155878/joey-garber"
"-","Brice Garnett","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1196282/brice-garnett"
"-","Jonathan Garrick","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2414963/jonathan-garrick"
"-","Chris Gilley","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2641992/chris-gilley"
"-","Drew Goff","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2373207/drew-goff"
"-","Talor Gooch","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2155885/talor-gooch"
"-","Brent Grant","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2598736/brent-grant"
"-","Gavin Green","MAS","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1738729/gavin-green"
"-","Scott Gregory","ENG","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2248323/scott-gregory"
"-","Max Greyserman","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2831416/max-greyserman"
"-","Matthew Griffin","AUS","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1654552/matthew-griffin"
"-","Stewart Hagestad","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2805475/stewart-hagestad"
"-","Kevin Hall","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/465077/kevin-hall"
"-","Scott Harvey","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2172006/scott-harvey"
"-","Tyrrell Hatton","ENG","0","3","5","0","http://www.cbssports.com/golf/players/playerpage/1757166/tyrrell-hatton"
"-","Kevin Hayashi","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/465471/kevin-hayashi"
"-","Michael Hebert","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2155905/michael-hebert"
"-","Scott Hend","AUS","0","1","1","0","http://www.cbssports.com/golf/players/playerpage/460160/scott-hend"
"-","Michael Hendry","NZL","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1196075/michael-hendry"
"-","Mark Hensby","AUS","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/149570/mark-hensby"
"-","Kramer Hickok","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2228469/kramer-hickok"
"-","Craig Hocknull","AUS","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1952128/craig-hocknull"
"-","Nathan Holman","AUS","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2155914/nathan-holman"
"-","Sam Horsfield","ENG","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2176414/sam-horsfield"
"-","Beau Hossler","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1839052/beau-hossler"
"-","David Hronek","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1779025/david-hronek"
"-","Yuta Ikeda","JPN","0","0","1","0","http://www.cbssports.com/golf/players/playerpage/466400/yuta-ikeda"
"-","Shugo Imahira","JPN","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2244926/shugo-imahira"
"-","Trevor Immelman","SAF","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/399338/trevor-immelman"
"-","Stephan Jaeger","GER","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1998141/stephan-jaeger"
"-","Thongchai Jaidee","THA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/466611/thongchai-jaidee"
"-","Jazz Janewattananond","THA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2155929/jazz-janewattananond"
"-","Carter Jenkins","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1995552/carter-jenkins"
"-","Marty Jertson","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/466721/marty-jertson"
"-","Cheng Jin","CHI","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2058130/cheng-jin"
"-","Michael Johnson","USA","0","0","1","0","http://www.cbssports.com/golf/players/playerpage/466823/michael-johnson"
"-","Neil Johnson","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/499304/neil-johnson"
"-","Rikard Karlberg","SWE","0","0","1","0","http://www.cbssports.com/golf/players/playerpage/502966/rikard-karlberg"
"-","Daisuke Kataoka","JPN","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1704695/daisuke-kataoka"
"-","Martin Kaymer","GER","0","1","5","0","http://www.cbssports.com/golf/players/playerpage/467216/martin-kaymer"
"-","Sean Kelly","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2820592/sean-kelly"
"-","Troy Kelly","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/555031/troy-kelly"
"-","Blake Kennedy","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2818534/blake-kennedy"
"-","Alex Kim","","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2155950/alex-kim"
"-","Chan Kim","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1769604/chan-kim"
"-","Hyung-Sung Kim","KOR","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1599887/hyung-sung-kim"
"-","K.T. Kim","KOR","0","0","1","0","http://www.cbssports.com/golf/players/playerpage/1206799/kt-kim"
"-","Sihwan Kim","KOR","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1626408/sihwan-kim"
"-","Kurt Kitayama","USA","0","0","1","0","http://www.cbssports.com/golf/players/playerpage/2245328/kurt-kitayama"
"-","Jim Knous","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1994802/jim-knous"
"-","Satoshi Kodaira","JPN","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2069948/satoshi-kodaira"
"-","Chase Koepka","USA","0","1","1","0","http://www.cbssports.com/golf/players/playerpage/2817812/chase-koepka"
"-","Ben Kohles","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2053566/ben-kohles"
"-","Neal Lancaster","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/132051/neal-lancaster"
"-","Bernhard Langer","GER","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/238081/bernhard-langer"
"-","Scott Langley","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1754325/scott-langley"
"-","Pablo Larrazabal","ESP","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1117514/pablo-larrazabal"
"-","Soomin Lee","KOR","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2248324/soomin-lee"
"-","Walker Lee","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2831417/walker-lee"
"-","Hugo Leon","CHL","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1691072/hugo-leon"
"-","Alexander Levy","FRA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1844146/alexander-levy"
"-","Haotong Li","CHN","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1819936/haotong-li"
"-","Wen-Chong Liang","CHN","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/476749/wen-chong-liang"
"-","Frank Lickliter II","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/468389/frank-lickliter-ii"
"-","Tyler Light","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2831422/tyler-light"
"-","David Lipsky","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1964442/david-lipsky"
"-","Dru Love","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2831421/dru-love"
"-","Justin Lower","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2075040/justin-lower"
"-","Curtis Luck","AUS","0","1","1","0","http://www.cbssports.com/golf/players/playerpage/2782496/curtis-luck"
"-","Joost Luiten","NET","0","0","2","0","http://www.cbssports.com/golf/players/playerpage/1194980/joost-luiten"
"-","Sandy Lyle","SCO","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/132062/sandy-lyle"
"-","Jack Maguire","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2176419/jack-maguire"
"-","Gregor Main","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1662074/gregor-main"
"-","Troy Matteson","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/469340/troy-matteson"
"-","Wesley McClain","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2804678/wesley-mcclain"
"-","Ryan McCormick","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2803337/ryan-mccormick"
"-","Lee McCoy","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2176421/lee-mccoy"
"-","Parker McLachlin","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/469738/parker-mclachlin"
"-","Jay McLuen","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/469760/jay-mcluen"
"-","Maverick McNealy","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2133374/maverick-mcnealy"
"-","Rocco Mediate","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/132074/rocco-mediate"
"-","Shaun Micheel","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/149603/shaun-micheel"
"-","Daniel Miernicki","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1757280/daniel-miernicki"
"-","Matthew Millar","AUS","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1195383/matthew-millar"
"-","Keith Mitchell","USA","0","0","1","0","http://www.cbssports.com/golf/players/playerpage/2156017/keith-mitchell"
"-","Yusaku Miyazato","JPN","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/470196/yusaku-miyazato"
"-","Colin Monagle","","0","0","0","0",""
"-","Alex Moon","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2237804/alex-moon"
"-","Collin Morikawa","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2323703/collin-morikawa"
"-","Alan Morin","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/399366/alan-morin"
"-","Savio Nazareth","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1628867/savio-nazareth"
"-","Matthew NeSmith","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2005992/matthew-nesmith"
"-","Chris Nido","","0","0","0","0",""
"-","Jordan Niebrugge","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2122902/jordan-niebrugge"
"-","Joaquin Niemann","CHL","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2831418/joaquin-niemann"
"-","Alex Noren","SWE","0","2","3","0","http://www.cbssports.com/golf/players/playerpage/471061/alex-noren"
"-","Henrik Norlander","SWE","0","1","2","0","http://www.cbssports.com/golf/players/playerpage/1628822/henrik-norlander"
"-","Mark O'Meara","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/132082/mark-omeara"
"-","Dan Obremski","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2068497/dan-obremski"
"-","John Oda","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1935040/john-oda"
"-","Jose Maria Olazabal","ESP","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/238089/jose-maria-olazabal"
"-","Thorbjorn Olesen","DEN","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1744305/thorbjorn-olesen"
"-","Rob Oppenheim","USA","0","1","1","0","http://www.cbssports.com/golf/players/playerpage/519110/rob-oppenheim"
"-","Wade Ormsby","AUS","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1194837/wade-ormsby"
"-","Carlos Ortiz","MEX","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1704630/carlos-ortiz"
"-","Garrett Osborn","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1505986/garrett-osborn"
"-","Ray Otis","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2682574/ray-otis"
"-","Jeff Overton","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/563449/jeff-overton"
"-","S.J. Park","KOR","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2156048/sj-park"
"-","Oliver Peacock","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2830146/oliver-peacock"
"-","Eddie Pepperell","ENG","0","0","1","0","http://www.cbssports.com/golf/players/playerpage/1988938/eddie-pepperell"
"-","Rod Perry","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/471859/rod-perry"
"-","Thomas Pieters","BEL","0","3","4","0","http://www.cbssports.com/golf/players/playerpage/2068382/thomas-pieters"
"-","Kenny Pigman","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2621013/kenny-pigman"
"-","Martin Piller","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1662007/martin-piller"
"-","Ben Polland","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2186291/ben-polland"
"-","Andy Pope","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1699688/andy-pope"
"-","Clayton Portz","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2854306/clayton-portz"
"-","Ted Potter, Jr.","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/472224/ted-potter-jr"
"-","Ted Purdy","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/149743/ted-purdy"
"-","Aaron Rai","ENG","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2605333/aaron-rai"
"-","Kyle Ramey","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2817813/kyle-ramey"
"-","Richie Ramsay","SCO","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1195113/richie-ramsay"
"-","Roman Robledo","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2831419/roman-robledo"
"-","Max Rottluff","GER","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2643789/max-rottluff"
"-","Brian Rowell","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/473152/brian-rowell"
"-","Marcelo Rozo","COL","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2044142/marcelo-rozo"
"-","Ryan Ruffels","AUS","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2218472/ryan-ruffels"
"-","Casey Russell","","0","0","0","0",""
"-","Jordan Russell","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2156093/jordan-russell"
"-","Sam Ryder","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2021153/sam-ryder"
"-","Jamie Sadlowski","CAN","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1896045/jamie-sadlowski"
"-","Gene Sauers","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/132104/gene-sauers"
"-","Jared Sawada","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2113628/jared-sawada"
"-","Scottie Scheffler","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2156104/scottie-scheffler"
"-","Richie Schembechler II","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2241779/richie-schembechler-ii"
"-","Phil Schmitt","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/149633/phil-schmitt"
"-","Jason Schmuhl","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1662820/jason-schmuhl"
"-","Michael Schoolcraft","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2206129/michael-schoolcraft"
"-","Matthias Schwab","AUT","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1770024/matthias-schwab"
"-","Chase Seiffert","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2156109/chase-seiffert"
"-","Robby Shelton","USA","0","0","1","0","http://www.cbssports.com/golf/players/playerpage/2133375/robby-shelton"
"-","Kevin Shields","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/474011/kevin-shields"
"-","Mark Silvers","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1754321/mark-silvers"
"-","Heath Slocum","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/238163/heath-slocum"
"-","Alex Smalley","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2156121/alex-smalley"
"-","Austin Smotherman","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2820591/austin-smotherman"
"-","Young-Han Song","KOR","0","0","1","0","http://www.cbssports.com/golf/players/playerpage/2246171/young-han-song"
"-","Joel Stalter","FRA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2075028/joel-stalter"
"-","Jimmy Stanger","","0","0","0","0",""
"-","Richard Sterne","SAF","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1194847/richard-sterne"
"-","Brandon Stone","SAF","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1915414/brandon-stone"
"-","Andy Sullivan","ENG","0","0","2","0","http://www.cbssports.com/golf/players/playerpage/1824072/andy-sullivan"
"-","Miguel Tabuena","PHI","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1914137/miguel-tabuena"
"-","Hideto Tanihara","JPN","0","1","1","0","http://www.cbssports.com/golf/players/playerpage/401351/hideto-tanihara"
"-","Josh Teater","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/475448/josh-teater"
"-","Sahith Theegala","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2705145/sahith-theegala"
"-","Kyle Thompson","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/460147/kyle-thompson"
"-","Nicholas Thompson","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/581475/nicholas-thompson"
"-","Braden Thornberry","USA","0","1","1","0","http://www.cbssports.com/golf/players/playerpage/2830147/braden-thornberry"
"-","D.J. Trahan","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/475801/dj-trahan"
"-","Marc Turnesa","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/475967/marc-turnesa"
"-","Peter Uihlein","USA","0","1","3","0","http://www.cbssports.com/golf/players/playerpage/1196372/peter-uihlein"
"-","Martin Ureta","CHL","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1226021/martin-ureta"
"-","Sebastian Vazquez","MEX","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1841011/sebastian-vazquez"
"-","Matt Wallace","ENG","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2831420/matt-wallace"
"-","Jeunghun Wang","KOR","0","0","1","0","http://www.cbssports.com/golf/players/playerpage/2156166/jeunghun-wang"
"-","Tim Weinhart","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/476695/tim-weinhart"
"-","Mike Weir","CAN","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/132142/mike-weir"
"-","Lee Westwood","ENG","0","0","2","0","http://www.cbssports.com/golf/players/playerpage/401357/lee-westwood"
"-","Gunner Wiebe","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1733566/gunner-wiebe"
"-","Bernd Wiesberger","AUT","0","0","4","0","http://www.cbssports.com/golf/players/playerpage/1195435/bernd-wiesberger"
